gesture one!
"[2021-06-22 19:20:24.200] accel  	0.21        	-0.24      	0.97"
"[2021-06-22 19:20:26.195] gyro   	-39.55    	1.59        	22.64"
"[2021-06-22 19:20:28.195] accel  	-0.03      	-0.21      	1.03"
"[2021-06-22 19:20:30.205]   gyro 	0.06        	1.65        	0.00"
"[2021-06-22 19:20:32.205] accel  	0.02        	-0.00      	1.02"
"[2021-06-22 19:20:34.205] gyro   	2.93        	1.46        	0.61"
"[2021-06-22 19:20:36.210] accel  	-0.01      	-0.01      	1.02"
"[2021-06-22 19:20:38.215] gyro   	-37.78    	-57.62    	3.97"
"[2021-06-22 19:20:40.220] accel	0.09	0.06	1.01"
"[2021-06-22 19:20:42.220] gyro	-1.59	-11.23	1.34"
"[2021-06-22 19:20:44.225] accel	-0.24	-0.08	1.04"
"[2021-06-22 19:20:46.230] gyro	10.68	59.51	-0.12"
"[2021-06-22 19:20:48.230] accel	-0.28	-0.06	0.96"
"[2021-06-22 19:20:50.235] gyro	-2.93	-18.98	-0.24"
"[2021-06-22 19:20:52.235] accel	0.38	-0.04	0.98"
"[2021-06-22 19:20:54.240] gyro	-3.54	34.30	0.61"
"[2021-06-22 19:20:56.245] accel	0.44	-0.13	0.99"
"[2021-06-22 19:20:58.250] gyro	-7.02	-13.12	0.79"
"[2021-06-22 19:21:00.249] accel	0.33	0.04	0.95"
"[2021-06-22 19:21:02.250] gyro	-5.07	47.73	-2.56"
"[2021-06-22 19:21:04.256] accel	0.03	-0.12	0.98"
"[2021-06-22 19:21:06.258] gyro	-12.21	-29.05	1.65"
"[2021-06-22 19:21:08.262] accel	0.55	-0.10	0.84"
"[2021-06-22 19:21:10.264] gyro	-3.66	56.70	-1.65"
"[2021-06-22 19:21:12.264] accel	-0.45	-0.13	0.98"
"[2021-06-22 19:21:14.277] gyro	-33.26	-112.55	10.80"
"[2021-06-22 19:21:16.272] accel	0.59	-0.18	0.78"
"[2021-06-22 19:21:18.276] gyro	-31.68	-116.82	23.19"
"[2021-06-22 19:21:20.279] accel	0.11	-0.16	1.04"
"[2021-06-22 19:21:22.279] gyro	-4.27	-74.10	-5.92"
"[2021-06-22 19:21:24.291] accel	0.41	-0.13	0.83"
"[2021-06-22 19:21:26.287] gyro	2.93	103.45	-13.55"
"[2021-06-22 19:21:28.290] accel	-0.45	-0.02	0.96"
"[2021-06-22 19:21:30.292] gyro	7.87	-177.00	13.85"
"[2021-06-22 19:21:32.293] accel	0.60	-0.20	0.77"
"[2021-06-22 19:21:34.297] gyro	6.29	171.75	-13.61"
