gyro	1.10	1.40	-0.31
accel	0.26	-0.38	0.93
gyro	1.22	-0.79	-2.99
accel	0.31	-0.43	0.84
gyro	-6.10	5.49	16.78
accel	0.13	-0.18	0.95
gyro	40.04	-14.34	-55.73
accel	0.05	-0.52	0.77
gyro	20.63	-22.28	97.60
accel	0.03	-0.12	0.92
gyro	-0.98	-1.10	35.34
accel	-0.01	-0.16	0.91
gyro	-7.75	2.69	1.89
accel	0.05	0.42	0.95
gyro	-63.78	-9.64	140.75
accel	0.04	-0.54	0.97
gyro	53.28	9.28	-137.76
accel	0.09	0.41	0.95
gyro	-18.37	-3.60	49.93
accel	-0.08	-0.77	0.96
gyro	40.04	18.68	-136.47
accel	0.16	-0.09	0.99
