accel	0.12	-0.29	0.96
gyro	0.61	1.71	-1.04
accel	0.12	-0.29	0.96
gyro	0.18	1.71	-0.79
accel	0.13	-0.29	0.96
gyro	0.73	1.89	-0.61
accel	0.08	-0.17	0.91
gyro	1.46	2.01	-0.37
accel	0.16	-0.33	0.94
gyro	0.73	1.40	-0.61
accel	0.15	-0.32	0.95
gyro	1.16	3.36	-0.73
accel	0.18	-0.38	0.92
gyro	-0.24	0.61	-1.04
accel	0.16	-0.35	0.93
gyro	2.50	1.16	0.55
accel	0.17	-0.36	0.93
gyro	0.43	1.59	-0.31
accel	0.27	-0.45	0.84
gyro	13.37	-4.33	26.61
accel	0.22	-0.52	0.87
gyro	4.58	7.87	-52.06
accel	0.02	-0.16	0.98
gyro	30.09	-32.41	-24.48
accel	0.09	-0.18	1.03
gyro	-2.32	1.40	-92.22
accel	0.31	0.76	0.81
gyro	33.33	2.69	-85.33
accel	0.10	0.07	1.00
gyro	5.37	-14.65	-100.71
accel	-0.37	-0.83	1.17
gyro	-11.23	22.95	48.65
accel	-0.03	-0.63	0.91
gyro	-45.41	24.72	66.35
accel	0.11	-0.26	0.92
gyro	-30.76	-37.96	86.06
accel	-0.06	-0.51	0.69
gyro	-14.71	-57.01	78.92
accel	0.06	0.03	1.20
gyro	-78.55	18.07	3.85
accel	-0.03	-0.41	0.96
gyro	10.50	58.35	-79.65
accel	0.01	-0.33	1.13
gyro	3.05	-50.96	60.49
accel	-0.24	-1.09	0.63
gyro	39.55	53.16	-24.90
accel	-0.13	-0.79	0.64
gyro	35.89	31.07	-62.01
accel	0.10	0.04	1.21
gyro	28.38	-58.17	83.56
accel	-0.04	-0.57	0.72
gyro	65.06	-98.39	-62.74
accel	-0.21	-0.45	1.58
gyro	-2.44	-78.86	-88.32
accel	0.20	0.45	0.92
gyro	6.04	-80.81	-57.92
accel	0.05	-0.31	1.22
gyro	25.51	71.04	86.36
accel	0.54	1.09	0.21
gyro	-5.25	-33.02	-68.48
accel	0.36	0.59	0.73
gyro	24.48	16.30	25.82
accel	0.47	0.75	0.38
gyro	18.43	-110.60	-109.13
accel	0.30	0.14	0.87
gyro	-28.08	31.07	-4.09
accel	0.30	0.21	0.98
gyro	5.43	3.78	2.08
accel	0.44	0.46	0.59
gyro	103.09	-105.35	-2.01
accel	-0.08	-0.60	1.11
gyro	15.26	8.06	71.35
accel	0.40	0.67	0.81
gyro	54.02	-49.13	-104.55
accel	0.11	0.73	0.98
gyro	-12.15	-21.42	-50.48
accel	0.34	0.91	0.88
gyro	-42.91	28.75	106.20
accel	0.25	0.72	0.99
gyro	5.55	5.25	-1.95
