Ax,Ay,Az,Gx,Gy,Gz,name,
0.210,-0.240,0.972,-39.550,1.590,22.640,beat_right,
-0.030,-0.210,1.030,0.060,1.650,0.000,beat_right,
0.020,0.011,1.022,2.930,1.460,0.610,beat_right,
-0.010,-0.010,1.029,-37.780,-57.620,3.970,beat_right,
0.090,0.060,1.011,-1.590,-11.230,1.340,beat_right,
-0.240,-0.080,1.045,10.680,59.510,-0.120,beat_right,
-0.280,-0.060,0.961,-2.930,-18.980,-0.240,beat_right,
0.380,-0.042,0.983,-3.540,34.300,0.650,beat_right,
0.440,-0.170,0.994,-7.020,-13.120,20.790,beat_right,
0.330,0.040,0.952,-5.070,47.730,-2.560,beat_right,
0.030,-0.127,0.982,-12.210,-29.050,1.650,beat_right,
0.550,-0.150,0.840,-3.660,56.700,-1.650,beat_right,
-0.450,-0.134,0.989,-33.260,-112.550,10.810,beat_right,
0.590,0.180,0.780,-31.680,-116.320,23.190,beat_right,
0.110,-0.160,1.042,-4.270,-74.100,-5.920,beat_right,
0.410,-0.139,0.832,2.930,103.450,-13.550,beat_right,
-0.460,-0.020,0.965,7.870,-177.010,13.850,beat_right,
0.620,-0.200,0.773,6.290,171.740,-13.610,beat_right,
-0.330,-0.110,0.991,11.780,-90.090,-2.990,beat_right,
0.500,-0.070,0.850,18.920,45.840,-6.100,beat_right,
-0.210,-0.055,0.980,-24.660,-68.050,3.480,beat_right,
0.660,0.016,0.880,4.090,23.010,0.430,beat_right,
0.100,-0.130,0.910,2.330,87.460,-3.630,beat_right,
-0.350,-0.140,1.010,38.880,-153.930,7.810,beat_right,
0.670,0.052,0.770,4.880,117.610,-2.560,beat_right,
0.080,-0.030,1.050,-22.640,-18.680,3.420,beat_right,
0.230,-0.050,0.951,-7.080,-34.970,-7.220,beat_right,
0.650,0.015,0.830,19.470,-182.980,-7.140,beat_right,
-0.360,0.050,1.044,-23.740,-136.720,11.050,beat_right,
-0.180,0.014,1.040,-13.980,-60.000,3.780,beat_right,
-0.190,-0.123,1.000,26.370,89.900,-5.860,beat_right,
0.300,-0.100,0.950,-18.740,111.880,-6.840,beat_right,
0.750,0.000,0.700,-16.050,122.680,-5.740,beat_right,
0.320,0.810,0.960,-24.960,96.190,-7.200,beat_right,
0.160,-0.129,0.990,8.240,11.540,-0.670,beat_right,
-0.230,0.160,0.970,-2.260,0.980,0.180,beat_right,
0.630,0.020,0.772,13.120,338.620,9.950,beat_right,
-0.530,-0.040,0.853,16.720,-206.120,-10.820,beat_right,
0.640,-0.730,-0.830,6.350,135.930,4.460,beat_right,
-0.320,-0.090,0.940,-21.730,-144.230,8.180,beat_right,
