Ax,Ay,Az,Gx,Gy,Gz,name
0.21,-0.24,0.972,-39.55,1.59,22.64,1
-0.03,-0.21,1.03,0.06,1.65,0,1
0.02,0.011,1.022,2.93,1.46,0.61,1
-0.01,-0.01,1.029,-37.78,-57.62,3.97,1
0.09,0.06,1.011,-1.59,-11.23,1.34,1
-0.24,-0.08,1.045,10.68,59.51,-0.12,1
-0.28,-0.06,0.961,-2.93,-18.98,-0.24,1
0.38,-0.042,0.983,-3.54,34.3,0.65,1
0.44,-0.17,0.994,-7.02,-13.12,20.79,1
0.33,0.04,0.952,-5.07,47.73,-2.56,1
0.03,-0.127,0.982,-12.21,-29.05,1.65,1
0.55,-0.15,0.84,-3.66,56.7,-1.65,1
-0.45,-0.134,0.989,-33.26,-112.55,10.81,1
0.59,0.18,0.78,-31.68,-116.32,23.19,1
0.11,-0.16,1.042,-4.27,-74.1,-5.92,1
0.41,-0.139,0.832,2.93,103.45,-13.55,1
-0.46,-0.02,0.965,7.87,-177.01,13.85,1
0.62,-0.2,0.773,6.29,171.74,-13.61,1
-0.33,-0.11,0.991,11.78,-90.09,-2.99,1
0.5,-0.07,0.85,18.92,45.84,-6.1,1
-0.21,-0.055,0.98,-24.66,-68.05,3.48,1
0.66,0.016,0.88,4.09,23.01,0.43,1
0.1,-0.13,0.91,2.33,87.46,-3.63,1
-0.35,-0.14,1.01,38.88,-153.93,7.81,1
0.67,0.052,0.77,4.88,117.61,-2.56,1
0.08,-0.03,1.05,-22.64,-18.68,3.42,1
0.23,-0.05,0.951,-7.08,-34.97,-7.22,1
0.65,0.015,0.83,19.47,-182.98,-7.14,1
-0.36,0.05,1.044,-23.74,-136.72,11.05,1
-0.18,0.014,1.04,-13.98,-60,3.78,1
-0.19,-0.123,1,26.37,89.9,-5.86,1
0.3,-0.1,0.95,-18.74,111.88,-6.84,1
0.75,0,0.7,-16.05,122.68,-5.74,1
0.32,0.81,0.96,-24.96,96.19,-7.2,1
0.16,-0.129,0.99,8.24,11.54,-0.67,1
-0.23,0.16,0.97,-2.26,0.98,0.18,1
0.63,0.02,0.772,13.12,338.62,9.95,1
-0.53,-0.04,0.853,16.72,-206.12,-10.82,1
0.64,-0.73,-0.83,6.35,135.93,4.46,1
-0.32,-0.09,0.94,-21.73,-144.23,8.18,1
0.61,-0.88,0.79,11.23,31.43,-0.37,1
0.17,0.01,0.986,-2.01,56.21,1.95,1
-0.41,0.08,1.013,7.32,-171.2,-5.31,1
-0.27,-0.8,0.49,-74.95,39.55,0.67,2
-0.13,-0.9,0.53,-179.5,137.76,62.13,2
0.25,-0.39,0.6,364.44,-257.45,-144.77,2
0.03,-0.95,0.17,-137.39,49.68,41.32,2
0.45,0.12,0.94,-392.76,123.9,187.74,2
0.19,-0.15,0.72,412.96,-237.55,-85.57,2
-0.14,-0.94,0.56,-125.43,118.23,40.41,2
0.41,0.2,0.67,247.07,-163.57,-150.82,2
-0.23,-1.12,0.39,-104.37,30.82,24.78,2
-0.46,-1.34,0.09,19.53,-4.27,-22.16,2
0.61,0.71,0.85,-264.71,105.47,37.11,2
0.4,0.19,0.89,-229.49,92.16,48.77,2
0.39,0.02,0.88,-150.27,4.7,12.7,2
0.34,-0.12,1.02,580.14,-332.52,-164,2
0.49,0.44,0.3,231.81,153.26,-163.57,2
0.43,0.25,0.12,57.07,-29.11,-61.28,2
0.62,0.51,0.92,27.65,15.26,-49.93,2
0.41,0.14,0.9,-375,85.57,58.17,2
0.56,0.22,0.82,-238.71,104.31,62.38,2
-0.01,-1.02,0.48,-343.87,166.32,103.03,2
0.54,0.79,0.86,-63.6,9.7,28.2,2
-0.11,-1.26,0.54,260.38,-155.94,51.76,2
-0.01,-0.93,0.49,20.08,4.58,-28.32,2
-0.47,-1.61,0.56,-400.88,201.42,100.22,2
0.81,2.16,1.69,96.8,-58.29,-13.12,2
0.76,0.69,0.61,-204.28,102.11,39.43,2
0.58,0.23,0.84,558.59,-292.66,-292.42,2
0.33,-0.84,1.24,322.39,-182.19,-69.15,2
-0.09,-1.32,0.02,-82.64,54.81,46.45,2
0.61,0.8,0.08,-52.12,18.74,16.42,2
0.54,0.45,0.9,6.9,16.05,-9.77,2
0.66,1.49,0.92,-131.71,50.42,8.12,2
0.47,0.3,0.78,539.37,-267.64,-71.17,2
0.24,-0.31,0.92,526.61,-360.68,-237.73,2
0.22,-0.52,0.87,4.58,7.87,-53.06,3
0.02,-0.16,0.98,30.09,-32.41,-24.48,3
0.09,-0.18,1.03,-2.32,1.4,-92.22,3
0.31,0.76,0.81,33.33,2.69,-85.33,3
0.1,0.07,1,5.37,-14.65,-100.71,3
-0.37,-0.83,1.17,-11.23,22.95,48.65,3
-0.03,-0.63,0.91,-45.41,24.72,66.35,3
0.11,-0.26,0.92,-30.76,-37.96,86.06,3
-0.06,-0.51,0.69,-14.71,-57.01,78.92,3
0.06,0.03,1.2,-78.55,18.07,3.85,3
-0.03,-0.41,0.96,10.5,58.35,-79.65,3
0.01,-0.33,1.13,3.05,-50.96,60.49,3
-0.24,-1.09,0.63,39.55,53.16,-24.9,3
-0.13,-0.79,0.64,35.89,31.07,-62.01,3
0.1,0.04,1.21,28.38,-58.17,83.56,3
-0.04,-0.57,0.72,65.06,-98.39,-62.74,3
-0.21,-0.45,1.58,-2.44,-78.86,-88.32,3
0.2,0.45,0.92,6.04,-80.81,-57.92,3
0.05,-0.31,1.22,25.51,71.04,86.36,3
0.54,1.09,0.21,-5.25,-33.02,-68.48,3
0.36,0.59,0.73,24.48,16.3,25.82,3
0.47,0.75,0.38,18.43,110.6,-109.13,3
0.3,0.14,0.87,-28.08,31.07,-4.09,3
0.3,0.21,0.98,5.43,3.78,2.08,3
0.44,0.46,0.59,103.09,-105.35,-2.01,3
-0.08,-0.6,1.11,15.26,8.06,71.35,3
0.4,0.67,0.81,54.02,-49.13,-104.55,3
0.11,0.73,0.98,-12.15,-21.42,-50.48,3
0.34,0.91,0.88,-42.91,28.75,106.2,3
