Ax,Ay,Az,Gx,Gy,Gz,name
0.03,-0.15,1.14,-2.75,49.13,-5.07,1
0.65,-0.27,0.59,6.16,53.96,-0.37,1
-0.38,-0.29,0.57,4.52,-49.01,10.43,1
0.75,-0.13,0.24,16.48,242.31,-46.02,1
0.06,0.01,0.97,59.69,218.57,-4.03,1
1.17,-0.24,-0.19,-14.47,-5.68,-1.34,1
0.86,-0.16,0.58,2.93,-198.79,-1.59,1
0.33,-0.11,0.78,-8.85,-223.88,44.93,1
0.04,-0.86,0.07,78.43,-31.37,-47.3,2
0.16,-0.59,1.14,-117.43,69.09,41.69,2
-0.44,-1.2,0.78,312.07,-187.38,-130.07,2
0.15,-0.42,0.47,34.73,5.07,1.89,2
0.57,0.16,0.62,59.14,-20.32,-23.44,2
0.4,-0.13,0.88,14.77,2.5,-5,2
0.13,-0.18,0.95,40.04,-14.34,-55.73,3
0.05,-0.52,0.77,20.63,-22.28,96.6,3
0.03,-0.12,0.92,-0.98,-1.13,35.34,3
-0.01,-0.16,0.91,-7.75,2.69,1.89,3
0.05,0.42,0.95,-63.78,-9.64,140.75,3
0.04,-0.54,0.97,53.28,9.34,-137.76,3
0.09,0.41,0.94,-18.37,-3.63,49.93,3
-0.08,-0.77,0.96,40.04,18.68,-136.47,3
